city,country,population,latitude,longitude,region,continent
Nilai,Malaysia,36720,2.8033,101.7972,South-Eastern Asia,Asia
Tangkak,Malaysia,35111,2.2673,102.5453,South-Eastern Asia,Asia
Jerantut,Malaysia,33608,3.936,102.3626,South-Eastern Asia,Asia
Kudat,Malaysia,32397,6.8837,116.8477,South-Eastern Asia,Asia
Pekan,Malaysia,31826,3.4836,103.3996,South-Eastern Asia,Asia
Bukit Bakri,Malaysia,30282,2.0429,102.6576,South-Eastern Asia,Asia
Kuah,Malaysia,30227,6.326492,99.843201,South-Eastern Asia,Asia
Bidor,Malaysia,30018,4.116667,101.283333,South-Eastern Asia,Asia
Masjid Tanah,Malaysia,29185,2.3585,102.1029,South-Eastern Asia,Asia
Tanah Merah,Malaysia,29120,5.8,102.15,South-Eastern Asia,Asia
Serendah,Malaysia,28483,3.3646,101.6041,South-Eastern Asia,Asia
Tampin,Malaysia,28240,2.4701,102.2302,South-Eastern Asia,Asia
Tapah,Malaysia,27864,4.183333,101.266667,South-Eastern Asia,Asia
Parit Buntar,Malaysia,27322,5.126714,100.493156,South-Eastern Asia,Asia
Sri Aman,Malaysia,27218,1.247222,111.452778,South-Eastern Asia,Asia
Permatang Kuching,Malaysia,27193,5.463393,100.381436,South-Eastern Asia,Asia
Yong Peng,Malaysia,27139,2.0136,103.0659,South-Eastern Asia,Asia
Sungai Besar,Malaysia,26939,3.6746,100.9867,South-Eastern Asia,Asia
Limbang,Malaysia,26201,4.75,115.0,South-Eastern Asia,Asia
Sungai Udang,Malaysia,26044,2.269,102.1427,South-Eastern Asia,Asia
Batu Berendam,Malaysia,25028,2.2487,102.246,South-Eastern Asia,Asia
Jenjarom,Malaysia,24858,2.883333,101.5,South-Eastern Asia,Asia
Kerteh,Malaysia,24430,4.5141,103.4483,South-Eastern Asia,Asia
Tanjong Tokong,Malaysia,24073,5.460613,100.307418,South-Eastern Asia,Asia
Pengkalan Kundang,Malaysia,23307,3.2856,101.519,South-Eastern Asia,Asia
Pekan Nenas,Malaysia,23293,1.51,103.5141,South-Eastern Asia,Asia
Peringat,Malaysia,23291,6.033333,102.283333,South-Eastern Asia,Asia
Batu Arang,Malaysia,22579,3.316667,101.466667,South-Eastern Asia,Asia
Tanjong Sepat,Malaysia,22339,2.6579,101.5629,South-Eastern Asia,Asia
Mersing,Malaysia,22009,2.4312,103.8405,South-Eastern Asia,Asia
Labis,Malaysia,21907,2.385,103.021,South-Eastern Asia,Asia
Marang,Malaysia,21413,5.2056,103.2059,South-Eastern Asia,Asia
Kuang,Malaysia,21184,3.2594,101.5541,South-Eastern Asia,Asia
Paka,Malaysia,21044,4.6374,103.4368,South-Eastern Asia,Asia
Kuala Krai,Malaysia,20874,5.531303,102.199249,South-Eastern Asia,Asia
Lawan Kuda Baharu,Malaysia,20238,4.4547,101.1606,South-Eastern Asia,Asia
Ayer Tawar,Malaysia,20185,4.3055,100.7618,South-Eastern Asia,Asia
Alor Gajah,Malaysia,20163,2.3804,102.2089,South-Eastern Asia,Asia
Batang Berjuntai,Malaysia,20001,3.383333,101.416667,South-Eastern Asia,Asia
Gua Musang,Malaysia,19734,4.8823,101.9644,South-Eastern Asia,Asia
Kuala Pilah,Malaysia,19511,2.7389,102.2487,South-Eastern Asia,Asia
Ranau,Malaysia,19296,5.9538,116.6641,South-Eastern Asia,Asia
Papar,Malaysia,19277,5.733333,115.933333,South-Eastern Asia,Asia
Kuala Kedah,Malaysia,19232,6.105146,100.285201,South-Eastern Asia,Asia
Kampar,Malaysia,19058,4.3,101.15,South-Eastern Asia,Asia
Pasir Mas,Malaysia,19020,6.049337,102.139873,South-Eastern Asia,Asia
Tanjong Malim,Malaysia,18184,3.681,101.5198,South-Eastern Asia,Asia
Simpang Rengam,Malaysia,17528,1.825,103.3107,South-Eastern Asia,Asia
Parit Raja,Malaysia,17440,1.8681,103.1124,South-Eastern Asia,Asia
Bukit Rambai,Malaysia,17391,2.2594,102.1838,South-Eastern Asia,Asia
Sabak,Malaysia,17251,3.7698,100.9879,South-Eastern Asia,Asia
Kepala Batas,Malaysia,17131,5.517069,100.426498,South-Eastern Asia,Asia
Tanjong Karang,Malaysia,16393,3.4242,101.1849,South-Eastern Asia,Asia
Pantai Remis,Malaysia,16318,4.4557,100.6288,South-Eastern Asia,Asia
Gurun,Malaysia,15965,5.81717,100.473812,South-Eastern Asia,Asia
Beaufort,Malaysia,15855,5.3473,115.7455,South-Eastern Asia,Asia
Kapit,Malaysia,15771,2.016667,112.933333,South-Eastern Asia,Asia
Kinarut,Malaysia,15716,5.8231,116.0466,South-Eastern Asia,Asia
Ayer Molek,Malaysia,15497,2.2028,102.3172,South-Eastern Asia,Asia
Kuala Lipis,Malaysia,15450,4.1842,102.0468,South-Eastern Asia,Asia
Beranang,Malaysia,14369,2.8733,101.8697,South-Eastern Asia,Asia
Bemban,Malaysia,14329,2.2684,102.3746,South-Eastern Asia,Asia
Kuala Perlis,Malaysia,13917,6.4,100.133333,South-Eastern Asia,Asia
Sungai Pelek,Malaysia,13829,2.646,101.7222,South-Eastern Asia,Asia
Jertih,Malaysia,13526,5.733596,102.489703,South-Eastern Asia,Asia
Kelapa Sawit,Malaysia,13239,1.6698,103.5327,South-Eastern Asia,Asia
Buloh Kasap,Malaysia,13088,2.5536,102.764,South-Eastern Asia,Asia
Kota Belud,Malaysia,12825,6.351,116.4305,South-Eastern Asia,Asia
Tumpat,Malaysia,12281,6.197755,102.170976,South-Eastern Asia,Asia
Kuala Sungai Baru,Malaysia,12269,2.3594,102.0353,South-Eastern Asia,Asia
Juru,Malaysia,12265,5.312009,100.442289,South-Eastern Asia,Asia
Pulau Sebang,Malaysia,11879,2.455,102.2329,South-Eastern Asia,Asia
Chaah,Malaysia,11844,2.249,103.048,South-Eastern Asia,Asia
