County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10,Avg SO2,Avg CO,Avg NO2,Avg OZONE,Avg PM2.5
Riverside,2019,Total population,All ages,12.2,(10.4-14.0),31.31506849,0.415922568,0.164793014,5.460456022,0.03664771,4.677270627
Sacramento,2019,Total population,All ages,16.0,(13.2-18.8),19.38611111,0.381826289,0.298488772,8.139077677,0.028871611,5.774376194
San Bernardino,2019,Total population,All ages,12.8,(10.7-15.0),24.36164384,1.734711148,0.115272058,13.61304496,0.036279556,15.3919205
San Diego,2019,Total population,All ages,14.2,(12.8-15.7),20.02479339,0.06721798,0.488346058,7.990781877,0.030966981,13.79637487
Santa Barbara,2019,Total population,All ages,9.6,(6.5-12.7),19.43013699,0.003098567,0.159370022,4.476973603,0.031275403,6.776553384
Santa Clara,2019,Total population,All ages,14.5,(12.4-16.7),18.25833333,0.144096196,0.315619338,10.72765458,0.02677914,5.886988981
Solano,2019,Total population,All ages,22.3,(16.0-28.5),12.125,0.459786092,0.317873989,7.298386875,0.025853523,8.670733316
Contra Costa,2021,Total population,All ages,17.8,(15-20.6),15.50819672,0.382256444,0.328675855,5.128631482,0.026262655,8.132059586
Fresno,2021,Total population,All ages,20.4,(17.3-23.5),41.5260274,0.42595524,0.348637882,10.96644145,0.031827655,15.58292378
Imperial,2021,Total population,All ages,17.5,(13.1-21.9),51.55616438,0.423623289,0.307676199,9.938298334,0.032002282,10.28880568
Los Angeles,2021,Total population,All ages,14.3,(13.4-15.1),28.04383562,0.393004351,0.344280893,14.69108173,0.030860005,13.75887035
Riverside,2021,Total population,All ages,13.5,(11.7-15.3),42.63013699,0.507070694,0.157005748,3.435039126,0.034891096,6.961200603
Sacramento,2021,Total population,All ages,18.8,(16.5-21.1),21.81179775,0.136032948,0.239793007,7.122255416,0.030640392,9.705580373
San Bernardino,2021,Total population,All ages,16.2,(14-18.4),29.56438356,0.974636775,0.203652882,15.20990333,0.036908715,17.78084528
San Diego,2021,Total population,All ages,14.3,(13.1-15.6),23.0,0.060819576,0.517547879,7.733036732,0.032624636,10.06798985
Santa Barbara,2021,Total population,All ages,17.2,(13.7-20.7),19.43561644,0.247891205,0.111482829,0.947510107,0.027645233,6.746123784
Santa Clara,2021,Total population,All ages,14.2,(12.4-16.1),18.99173554,0.173070916,0.304529164,8.816706025,0.025712778,5.511959693
Solano,2021,Total population,All ages,19.2,(14.6-23.7),14.22413793,0.942155412,0.290262669,5.851408557,0.025476282,8.457681503
